BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
8E:6F:A0:A8:FC:C4, 2023-01-29 01:25:07, 2023-01-29 01:25:07,-47,1, (not associated) ,,,,,,,,,
76:48:85:C0:B1:1A, 2023-01-29 01:24:51, 2023-01-29 01:24:52,-1,17, AC:9E:17:5C:AE:CC,,,,,,,,,
46:F4:4D:F2:92:E7, 2023-01-29 01:24:30, 2023-01-29 01:24:30,-63,1, (not associated) ,,,,,,,,,
FA:87:44:DB:CB:F3, 2023-01-29 01:24:03, 2023-01-29 01:24:03,-55,2, (not associated) ,,,,,,,,,
16:34:A2:0D:A0:D5, 2023-01-29 01:19:42, 2023-01-29 01:24:07,-79,2, E8:65:D4:64:D1:11,,,,,,,,,
52:9C:A5:30:00:58, 2023-01-29 01:23:42, 2023-01-29 01:23:42,-63,1, (not associated) ,,,,,,,,,
C2:DB:9A:6B:D1:1C, 2023-01-29 01:23:42, 2023-01-29 01:23:42,-65,1, (not associated) ,,,,,,,,,
EA:44:88:DA:12:4D, 2023-01-29 01:23:40, 2023-01-29 01:23:40,-65,1, (not associated) ,,,,,,,,,
22:51:39:35:40:6F, 2023-01-29 01:23:41, 2023-01-29 01:23:41,-67,1, (not associated) ,,,,,,,,,
0E:B5:13:F4:AA:9E, 2023-01-29 01:23:14, 2023-01-29 01:23:14,-51,2, (not associated) ,,,,,,,,,
2E:63:67:E0:89:09, 2023-01-29 01:23:07, 2023-01-29 01:23:07,-49,2, (not associated) ,,,,,,,,,
DA:1E:72:76:EE:F7, 2023-01-29 01:23:02, 2023-01-29 01:23:02,-63,1, (not associated) ,,,,,,,,,
3E:E7:38:2B:59:34, 2023-01-29 01:23:02, 2023-01-29 01:23:02,-67,1, (not associated) ,,,,,,,,,
0E:AC:38:BC:C6:F8, 2023-01-29 01:23:02, 2023-01-29 01:23:02,-69,1, (not associated) ,,,,,,,,,
66:79:59:9D:6D:4F, 2023-01-29 01:23:02, 2023-01-29 01:23:02,-69,1, (not associated) ,,,,,,,,,
82:CB:AD:30:91:FC, 2023-01-29 01:22:55, 2023-01-29 01:22:55,-51,2, (not associated) ,,,,,,,,,
2E:ED:33:78:EE:61, 2023-01-29 01:22:55, 2023-01-29 01:22:55,-55,1, (not associated) ,,,,,,,,,
12:27:41:6E:74:0A, 2023-01-29 01:22:55, 2023-01-29 01:22:55,-63,1, (not associated) ,,,,,,,,,
42:20:3E:82:7C:B5, 2023-01-29 01:22:19, 2023-01-29 01:22:19,-65,1, (not associated) ,,,,,,,,,
A2:59:C3:8C:6F:FB, 2023-01-29 01:22:18, 2023-01-29 01:22:18,-77,1, (not associated) ,,,,,,,,,
12:02:AD:C1:D9:E2, 2023-01-29 01:18:58, 2023-01-29 01:21:52,-82,38, FC:EC:DA:E6:51:D9,,,,,,,,,
76:C0:81:7D:F9:AC, 2023-01-29 01:21:16, 2023-01-29 01:21:16,-77,2, 78:90:A2:8F:A5:CE,,,,,,,,,
CA:83:6C:27:7F:DD, 2023-01-29 01:21:05, 2023-01-29 01:21:06,-59,11, (not associated) ,OSHINEI_CUSTOMER,,,,,,,,
72:A5:F4:C1:2F:AB, 2023-01-29 01:20:07, 2023-01-29 01:20:07,-57,2, (not associated) ,,,,,,,,,
AE:F9:75:3E:8F:9E, 2023-01-29 01:20:07, 2023-01-29 01:20:07,-69,1, (not associated) ,,,,,,,,,
FA:DD:AA:84:13:F9, 2023-01-29 01:19:54, 2023-01-29 01:19:54,-51,2, (not associated) ,,,,,,,,,
B2:1E:69:DB:71:2B, 2023-01-29 01:19:55, 2023-01-29 01:19:55,-67,1, (not associated) ,,,,,,,,,
3E:AB:D6:2B:10:98, 2023-01-29 01:19:07, 2023-01-29 01:19:07,-47,2, (not associated) ,,,,,,,,,
CE:F8:80:4C:76:C3, 2023-01-29 01:19:05, 2023-01-29 01:19:05,-67,1, (not associated) ,,,,,,,,,
B6:73:FE:89:31:82, 2023-01-29 01:18:54, 2023-01-29 01:18:54,-67,2, (not associated) ,,,,,,,,,
26:67:72:0C:5A:0C, 2023-01-29 01:18:53, 2023-01-29 01:18:53,-69,1, (not associated) ,,,,,,,,,
8E:7E:CC:77:F5:D9, 2023-01-29 01:18:59, 2023-01-29 01:18:59,-67,1, (not associated) ,,,,,,,,,
82:87:1E:61:8C:76, 2023-01-29 01:19:13, 2023-01-29 01:19:13,-67,1, (not associated) ,,,,,,,,,
46:6B:C0:47:EA:1C, 2023-01-29 01:19:24, 2023-01-29 01:19:24,-65,1, (not associated) ,,,,,,,,,
2A:C0:07:34:44:C5, 2023-01-29 01:20:22, 2023-01-29 01:20:22,-69,2, (not associated) ,,,,,,,,,
6E:2F:3B:A9:A2:D1, 2023-01-29 01:20:25, 2023-01-29 01:20:25,-69,1, (not associated) ,,,,,,,,,
1E:5D:2B:20:D8:B2, 2023-01-29 01:20:20, 2023-01-29 01:20:20,-61,1, (not associated) ,,,,,,,,,
AA:72:95:B4:9A:70, 2023-01-29 01:20:20, 2023-01-29 01:20:20,-47,2, (not associated) ,,,,,,,,,
32:CE:41:AE:3F:AF, 2023-01-29 01:20:59, 2023-01-29 01:20:59,-75,1, (not associated) ,,,,,,,,,
A6:93:CF:B2:5E:FF, 2023-01-29 01:21:13, 2023-01-29 01:21:13,-69,1, (not associated) ,,,,,,,,,
7E:C9:A8:D5:01:4B, 2023-01-29 01:21:21, 2023-01-29 01:21:21,-65,1, (not associated) ,,,,,,,,,
92:DC:1D:4F:37:8A, 2023-01-29 01:21:21, 2023-01-29 01:21:21,-63,1, (not associated) ,,,,,,,,,
E2:AC:80:1D:F7:AA, 2023-01-29 01:21:33, 2023-01-29 01:21:33,-69,1, (not associated) ,,,,,,,,,
1A:4D:15:44:C0:EF, 2023-01-29 01:21:32, 2023-01-29 01:21:32,-67,1, (not associated) ,,,,,,,,,
0E:C8:F2:1F:CA:8E, 2023-01-29 01:21:37, 2023-01-29 01:21:37,-63,2, (not associated) ,,,,,,,,,
4A:76:B6:ED:C0:0B, 2023-01-29 01:21:37, 2023-01-29 01:21:37,-61,1, (not associated) ,,,,,,,,,
3E:7D:CB:E7:43:3F, 2023-01-29 01:21:37, 2023-01-29 01:21:37,-59,1, (not associated) ,,,,,,,,,
76:1C:19:D6:3A:42, 2023-01-29 01:21:34, 2023-01-29 01:21:34,-44,2, (not associated) ,,,,,,,,,
2E:C5:3D:CD:E9:95, 2023-01-29 01:22:09, 2023-01-29 01:22:09,-51,1, (not associated) ,,,,,,,,,
E6:E2:A8:FB:56:B2, 2023-01-29 01:22:21, 2023-01-29 01:22:21,-67,1, (not associated) ,,,,,,,,,
32:88:12:10:31:4A, 2023-01-29 01:22:25, 2023-01-29 01:22:25,-53,2, (not associated) ,,,,,,,,,
1C:3B:F3:30:65:C1, 2023-01-29 01:21:25, 2023-01-29 01:22:33,-1,4, AC:9E:17:5C:AE:CC,,,,,,,,,
BE:6B:B4:1C:E2:94, 2023-01-29 01:23:34, 2023-01-29 01:23:34,-73,1, FC:EC:DA:E6:51:D9,,,,,,,,,
D6:90:4D:18:81:FD, 2023-01-29 01:23:33, 2023-01-29 01:23:33,-61,2, (not associated) ,,,,,,,,,
F2:26:A2:ED:6D:C6, 2023-01-29 01:23:33, 2023-01-29 01:23:33,-53,2, (not associated) ,,,,,,,,,
AA:5B:49:A0:75:33, 2023-01-29 01:23:46, 2023-01-29 01:23:46,-67,4, (not associated) ,OSHINEI_CUSTOMER,,,,,,,,
1E:7A:BF:5B:E1:2D, 2023-01-29 01:23:47, 2023-01-29 01:23:47,-59,1, (not associated) ,,,,,,,,,
AA:23:7E:6F:A6:18, 2023-01-29 01:23:48, 2023-01-29 01:23:48,-57,1, (not associated) ,,,,,,,,,
2A:70:F2:89:D8:1D, 2023-01-29 01:23:48, 2023-01-29 01:23:48,-47,1, (not associated) ,,,,,,,,,
0E:EB:D6:C8:B0:30, 2023-01-29 01:24:08, 2023-01-29 01:24:08,-67,1, (not associated) ,,,,,,,,,
8A:DB:CF:C7:CF:9C, 2023-01-29 01:24:10, 2023-01-29 01:24:11,-59,5, (not associated) ,,,,,,,,,
DA:A2:7D:43:BA:30, 2023-01-29 01:24:25, 2023-01-29 01:24:25,-73,1, (not associated) ,,,,,,,,,
EA:00:CD:3F:9C:21, 2023-01-29 01:21:51, 2023-01-29 01:24:34,-85,11, AC:85:3D:EF:52:D0,,,,,,,,,
02:9F:8D:29:44:A1, 2023-01-29 01:25:23, 2023-01-29 01:25:23,-67,1, (not associated) ,,,,,,,,,
92:E9:E5:D6:93:02, 2023-01-29 01:25:24, 2023-01-29 01:25:24,-65,1, (not associated) ,,,,,,,,,
DA:AB:E8:E0:32:DE, 2023-01-29 01:25:23, 2023-01-29 01:25:23,-53,1, (not associated) ,,,,,,,,,
BA:B5:51:F7:03:8D, 2023-01-29 01:25:47, 2023-01-29 01:25:47,-67,2, (not associated) ,,,,,,,,,
86:14:E8:9F:47:1D, 2023-01-29 01:25:59, 2023-01-29 01:25:59,-67,1, (not associated) ,,,,,,,,,
A2:6C:86:8B:04:4F, 2023-01-29 01:25:56, 2023-01-29 01:25:56,-53,2, (not associated) ,,,,,,,,,
DA:A1:19:9B:79:7C, 2023-01-29 01:26:24, 2023-01-29 01:26:25,-88,5, (not associated) ,M-HOME_FL3 5G,,,,,,,,
CA:23:6C:12:83:5E, 2023-01-29 01:26:20, 2023-01-29 01:26:20,-69,2, (not associated) ,,,,,,,,,
2A:04:0F:58:61:78, 2023-01-29 01:26:21, 2023-01-29 01:26:21,-65,1, (not associated) ,,,,,,,,,
C6:D1:B0:E4:06:39, 2023-01-29 01:25:47, 2023-01-29 01:26:23,-61,37, (not associated) ,OSHINEI_CUSTOMER,,,,,,,,
E6:34:2F:80:0B:51, 2023-01-29 01:26:20, 2023-01-29 01:26:20,-59,2, (not associated) ,,,,,,,,,
64:90:C1:8A:52:9E, 2023-01-29 01:19:16, 2023-01-29 01:26:59,-89,66, 8C:FD:18:B0:9E:64,,,,,,,,,
DA:A1:19:03:F6:2D, 2023-01-29 01:26:49, 2023-01-29 01:26:49,-85,2, (not associated) ,M-HOME_FL3 5G,,,,,,,,
00:5B:94:C6:3C:9B, 2023-01-29 01:26:51, 2023-01-29 01:26:51,-81,1, 14:91:82:A4:38:51,,,,,,,,,
3A:0C:92:97:1D:AE, 2023-01-29 01:18:53, 2023-01-29 01:26:53,-78,18, 50:C7:BF:1A:87:93,,,,,,,,,
4E:D0:F9:3A:98:0C, 2023-01-29 01:18:50, 2023-01-29 01:26:59,-73,21, 7A:6C:51:1A:A2:48,,,,,,,,,
4A:95:9B:0B:A9:F7, 2023-01-29 01:26:36, 2023-01-29 01:26:36,-73,1, (not associated) ,,,,,,,,,
34:6F:24:0F:D0:FF, 2023-01-29 01:19:00, 2023-01-29 01:27:13,-73,38, (not associated) ,,,,,,,,,
FA:31:64:BD:AE:0B, 2023-01-29 01:19:00, 2023-01-29 01:27:24,-71,55, C0:C9:E3:D7:DD:9D,,,,,,,,,
D8:A3:15:B5:FC:D1, 2023-01-29 01:18:50, 2023-01-29 01:27:27,-71,35, E8:65:D4:64:D1:11,,,,,,,,,
10:5A:17:36:11:F4, 2023-01-29 01:18:58, 2023-01-29 01:27:14,-71,20, (not associated) ,HOKAPOWER_2.4G,,,,,,,,
D4:A6:51:97:37:03, 2023-01-29 01:21:16, 2023-01-29 01:26:33,-71,2, 48:F8:DB:20:BA:C4,,,,,,,,,
8E:D4:F4:6F:FB:EC, 2023-01-29 01:19:17, 2023-01-29 01:27:25,-69,60, FC:EC:DA:E6:51:D9,,,,,,,,,
82:26:F4:95:C1:9D, 2023-01-29 01:25:07, 2023-01-29 01:26:37,-67,3, (not associated) ,,,,,,,,,
C6:5D:DB:8A:D1:ED, 2023-01-29 01:26:37, 2023-01-29 01:26:38,-65,9, (not associated) ,,,,,,,,,
9C:2F:9D:9A:5F:43, 2023-01-29 01:26:51, 2023-01-29 01:26:51,-63,2, (not associated) ,,,,,,,,,
D6:1B:BF:3B:53:09, 2023-01-29 01:27:06, 2023-01-29 01:27:06,-63,1, (not associated) ,,,,,,,,,
46:84:76:C1:C0:D8, 2023-01-29 01:26:39, 2023-01-29 01:26:39,-59,2, (not associated) ,,,,,,,,,
4A:E4:60:93:2B:E4, 2023-01-29 01:27:04, 2023-01-29 01:27:05,-39,10, (not associated) ,,,,,,,,,
B8:27:EB:A9:06:0A, 2023-01-29 01:18:58, 2023-01-29 01:27:16,-35,122, 06:67:68:21:28:28,,,,,,,,,
3C:6A:A7:DC:71:2F, 2023-01-29 01:18:45, 2023-01-29 01:27:19,-29,123, 06:67:68:21:28:28,WRS3_1234,,,,,,,,
F2:69:20:74:B4:2B, 2023-01-29 01:18:53, 2023-01-29 01:27:18,-1,69, 8C:FD:18:B0:9E:64,,,,,,,,,
