BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
32:00:4D:D4:46:77, 2023-01-29 01:08:17, 2023-01-29 01:08:17,-75,2, (not associated) ,,,,,,,,,
BA:AC:E1:08:71:1F, 2023-01-29 01:08:06, 2023-01-29 01:08:06,-63,11, (not associated) ,,,,,,,,,
2A:7F:D7:3F:6E:39, 2023-01-29 01:07:40, 2023-01-29 01:07:40,-61,1, (not associated) ,,,,,,,,,
AA:88:F8:B3:FC:87, 2023-01-29 01:06:41, 2023-01-29 01:06:41,-67,1, (not associated) ,,,,,,,,,
22:9D:19:B3:22:70, 2023-01-29 01:06:41, 2023-01-29 01:06:41,-69,1, (not associated) ,,,,,,,,,
9C:2F:9D:9A:5F:43, 2023-01-29 01:05:55, 2023-01-29 01:05:55,-61,2, (not associated) ,,,,,,,,,
A6:0B:3C:16:04:D9, 2023-01-29 01:05:41, 2023-01-29 01:05:42,-85,3, 00:25:00:FF:94:73,,,,,,,,,
92:2F:3A:33:8C:E9, 2023-01-29 01:05:44, 2023-01-29 01:05:44,-88,2, (not associated) ,,,,,,,,,
2A:35:DE:FE:6D:AE, 2023-01-29 01:04:30, 2023-01-29 01:04:30,-61,1, (not associated) ,,,,,,,,,
06:A1:BA:57:72:BA, 2023-01-29 01:04:05, 2023-01-29 01:04:31,-81,8, 00:25:00:FF:94:73,,,,,,,,,
AA:D6:D5:25:0F:3D, 2023-01-29 01:04:05, 2023-01-29 01:04:20,-81,5, 00:25:00:FF:94:73,,,,,,,,,
62:A5:9D:99:90:CA, 2023-01-29 01:04:05, 2023-01-29 01:04:05,-51,2, 00:25:00:FF:94:73,,,,,,,,,
2A:B9:29:E2:2A:2C, 2023-01-29 01:03:54, 2023-01-29 01:03:54,-84,5, 00:25:00:FF:94:73,,,,,,,,,
9E:15:39:EB:A3:09, 2023-01-29 01:03:40, 2023-01-29 01:03:40,-59,1, (not associated) ,,,,,,,,,
D6:F4:C2:0C:D8:46, 2023-01-29 01:03:41, 2023-01-29 01:03:41,-63,1, (not associated) ,,,,,,,,,
86:28:A9:35:F6:44, 2023-01-29 01:03:41, 2023-01-29 01:03:41,-67,1, (not associated) ,,,,,,,,,
1A:6D:B5:45:44:6C, 2023-01-29 01:03:29, 2023-01-29 01:03:29,-65,1, (not associated) ,,,,,,,,,
26:8E:A1:BC:24:70, 2023-01-29 01:03:29, 2023-01-29 01:03:29,-67,1, (not associated) ,,,,,,,,,
CA:EB:C6:23:38:5D, 2023-01-29 01:03:14, 2023-01-29 01:03:16,-84,3, 00:25:00:FF:94:73,,,,,,,,,
6E:96:77:0C:C3:E3, 2023-01-29 01:03:02, 2023-01-29 01:03:07,-77,5, 00:25:00:FF:94:73,,,,,,,,,
AE:93:FD:DE:24:E0, 2023-01-29 01:03:13, 2023-01-29 01:03:14,-76,2, 00:25:00:FF:94:73,,,,,,,,,
86:64:8A:A6:AC:86, 2023-01-29 01:03:10, 2023-01-29 01:03:10,-71,2, (not associated) ,,,,,,,,,
AA:EE:95:7D:8F:20, 2023-01-29 01:03:10, 2023-01-29 01:03:10,-63,1, (not associated) ,,,,,,,,,
02:A9:7A:8D:A7:D0, 2023-01-29 01:03:38, 2023-01-29 01:03:38,-63,1, (not associated) ,,,,,,,,,
BA:D6:01:86:D9:31, 2023-01-29 01:03:38, 2023-01-29 01:03:38,-61,1, (not associated) ,,,,,,,,,
12:AF:69:37:38:E7, 2023-01-29 01:03:38, 2023-01-29 01:03:38,-51,2, (not associated) ,,,,,,,,,
EA:5A:29:D0:98:3E, 2023-01-29 01:05:38, 2023-01-29 01:05:38,-69,1, (not associated) ,,,,,,,,,
66:0C:AD:22:8C:32, 2023-01-29 01:05:38, 2023-01-29 01:05:38,-67,1, (not associated) ,,,,,,,,,
02:82:75:DC:6E:F3, 2023-01-29 01:06:38, 2023-01-29 01:06:38,-67,1, (not associated) ,,,,,,,,,
02:AF:EA:FC:9B:5F, 2023-01-29 01:08:38, 2023-01-29 01:08:38,-59,1, (not associated) ,,,,,,,,,
4A:88:8D:33:A0:22, 2023-01-29 01:09:09, 2023-01-29 01:09:09,-67,1, (not associated) ,,,,,,,,,
82:8E:B4:0A:DB:9F, 2023-01-29 01:09:33, 2023-01-29 01:09:33,-67,1, (not associated) ,,,,,,,,,
7E:6A:FD:F0:9B:57, 2023-01-29 01:09:50, 2023-01-29 01:09:50,-71,1, (not associated) ,,,,,,,,,
52:3A:31:E6:CF:EB, 2023-01-29 01:10:14, 2023-01-29 01:10:14,-69,1, (not associated) ,,,,,,,,,
66:8F:1B:D0:E6:03, 2023-01-29 01:10:37, 2023-01-29 01:10:37,-69,1, (not associated) ,,,,,,,,,
06:7F:9F:F4:84:17, 2023-01-29 01:10:38, 2023-01-29 01:10:38,-61,1, (not associated) ,,,,,,,,,
3A:40:77:77:C3:7A, 2023-01-29 01:10:37, 2023-01-29 01:10:37,-59,1, (not associated) ,,,,,,,,,
56:EC:66:B9:CA:47, 2023-01-29 01:10:49, 2023-01-29 01:10:49,-65,1, (not associated) ,,,,,,,,,
BE:75:8C:C1:61:84, 2023-01-29 01:10:49, 2023-01-29 01:10:49,-61,1, (not associated) ,,,,,,,,,
2A:9E:38:A9:FA:63, 2023-01-29 01:11:34, 2023-01-29 01:11:34,-81,1, (not associated) ,,,,,,,,,
82:26:F4:95:C1:9D, 2023-01-29 01:02:45, 2023-01-29 01:12:24,-69,10, (not associated) ,,,,,,,,,
00:5B:94:C6:3C:9B, 2023-01-29 01:12:51, 2023-01-29 01:12:51,-79,2, 14:91:82:A4:38:51,,,,,,,,,
12:E0:55:1F:1C:D8, 2023-01-29 01:13:14, 2023-01-29 01:13:14,-67,1, (not associated) ,,,,,,,,,
7A:F9:3A:B9:85:76, 2023-01-29 01:13:22, 2023-01-29 01:13:22,-65,1, (not associated) ,,,,,,,,,
36:12:A9:62:C8:58, 2023-01-29 01:13:38, 2023-01-29 01:13:38,-55,1, (not associated) ,,,,,,,,,
78:8B:2A:67:8B:6B, 2023-01-29 01:13:51, 2023-01-29 01:13:51,-88,2, 7A:8B:2A:A9:A1:55,,,,,,,,,
06:23:10:C9:B1:C2, 2023-01-29 01:13:57, 2023-01-29 01:13:58,-65,3, (not associated) ,,,,,,,,,
76:1C:19:D6:3A:42, 2023-01-29 01:14:00, 2023-01-29 01:14:00,-48,2, (not associated) ,,,,,,,,,
1C:3B:F3:30:65:C1, 2023-01-29 01:08:24, 2023-01-29 01:14:25,-1,32, AC:9E:17:5C:AE:CC,,,,,,,,,
5C:E5:0C:B3:93:D0, 2023-01-29 01:14:24, 2023-01-29 01:14:24,-1,1, E8:65:D4:64:D1:11,,,,,,,,,
6C:6A:77:92:81:7D, 2023-01-29 01:04:42, 2023-01-29 01:15:17,-90,9, 26:56:C8:D1:A0:75,,,,,,,,,
EA:C2:60:06:BE:99, 2023-01-29 01:14:33, 2023-01-29 01:14:40,-85,4, 00:25:00:FF:94:73,,,,,,,,,
9A:6C:B5:15:76:EA, 2023-01-29 01:03:06, 2023-01-29 01:15:02,-84,21, 00:25:00:FF:94:73,,,,,,,,,
8E:D4:F4:6F:FB:EC, 2023-01-29 01:02:50, 2023-01-29 01:14:50,-84,119, FC:EC:DA:E6:51:D9,,,,,,,,,
12:02:AD:C1:D9:E2, 2023-01-29 01:02:59, 2023-01-29 01:15:25,-78,99, FC:EC:DA:E6:51:D9,M-HOME_FL4,,,,,,,,
D4:A6:51:97:37:03, 2023-01-29 01:03:50, 2023-01-29 01:14:58,-77,10, 48:F8:DB:20:BA:C4,,,,,,,,,
EA:00:CD:3F:9C:21, 2023-01-29 01:02:51, 2023-01-29 01:14:43,-75,16, AC:85:3D:EF:52:D0,,,,,,,,,
BE:6B:B4:1C:E2:94, 2023-01-29 01:02:59, 2023-01-29 01:15:09,-73,39, FC:EC:DA:E6:51:D9,M-HOME_FL4,,,,,,,,
64:90:C1:8A:52:9E, 2023-01-29 01:02:50, 2023-01-29 01:15:18,-69,152, 8C:FD:18:B0:9E:64,,,,,,,,,
4E:D0:F9:3A:98:0C, 2023-01-29 01:02:51, 2023-01-29 01:15:07,-69,231, 7A:6C:51:1A:A2:48,,,,,,,,,
0A:25:C1:B3:FB:BD, 2023-01-29 01:14:48, 2023-01-29 01:14:48,-69,1, (not associated) ,,,,,,,,,
42:50:53:D4:E6:71, 2023-01-29 01:15:03, 2023-01-29 01:15:03,-69,1, (not associated) ,,,,,,,,,
76:C0:81:7D:F9:AC, 2023-01-29 01:07:33, 2023-01-29 01:15:25,-69,12, 78:90:A2:8F:A5:CE,,,,,,,,,
FA:31:64:BD:AE:0B, 2023-01-29 01:03:26, 2023-01-29 01:15:14,-67,96, C0:C9:E3:D7:DD:9D,Maprang_FL6,,,,,,,,
82:C8:C7:2A:8F:E8, 2023-01-29 01:13:59, 2023-01-29 01:14:59,-67,3, 4A:26:6F:E2:70:C6,,,,,,,,,
B4:69:21:28:1E:78, 2023-01-29 01:04:23, 2023-01-29 01:14:34,-63,6, FC:EC:DA:E6:51:D9,M-HOME_FL4,,,,,,,,
2A:A2:9A:D8:D4:4A, 2023-01-29 01:14:37, 2023-01-29 01:14:38,-61,4, (not associated) ,,,,,,,,,
DE:CA:92:D4:09:AF, 2023-01-29 01:14:49, 2023-01-29 01:14:49,-57,9, (not associated) ,,,,,,,,,
C6:2F:5C:63:DA:CF, 2023-01-29 01:15:04, 2023-01-29 01:15:04,-53,2, (not associated) ,,,,,,,,,
56:5E:66:F7:5B:0D, 2023-01-29 01:15:28, 2023-01-29 01:15:29,-49,3, (not associated) ,,,,,,,,,
3C:6A:A7:DC:71:2F, 2023-01-29 01:03:13, 2023-01-29 01:15:29,-33,132, 06:67:68:21:28:28,WRS3_1234,,,,,,,,
B8:27:EB:A9:06:0A, 2023-01-29 01:02:58, 2023-01-29 01:15:01,-29,261, 06:67:68:21:28:28,,,,,,,,,
F2:69:20:74:B4:2B, 2023-01-29 01:03:25, 2023-01-29 01:15:25,-1,32, 8C:FD:18:B0:9E:64,,,,,,,,,
00:F4:8D:7D:71:A5, 2023-01-29 01:04:53, 2023-01-29 01:15:08,-1,17, 14:91:82:A4:38:51,,,,,,,,,
C8:A8:23:11:F7:C1, 2023-01-29 01:02:58, 2023-01-29 01:15:08,-1,16, 8C:FD:18:B0:9E:64,,,,,,,,,
76:48:85:C0:B1:1A, 2023-01-29 01:04:25, 2023-01-29 01:14:43,-1,22, AC:9E:17:5C:AE:CC,,,,,,,,,
